Query	Millis	PreMillis	JoinMillis	PostMillis	PreNoIndexMillis	JoinNoMatMillis	Tuples	nrFbacks	Iterations	Lookups	NrIndexEntries	nrUniqueLookups	NrUctNodes	NrPlans	JoinCard	NrSamples	AvgReward	MaxReward	TotalWork
q21.sql	6286	3925	986	27	867	982	307481	0	553864	0	58457148	40680	57	24	3935	1108	0.006216518373377656	0.3069624086759247	1.9991930297908926
q20.sql	6460	9	13	1	8	13	1465	0	2826	0	167113	1071	8	3	258	6	0.14074581711026557	0.480984694196552	1.8936318074722316
q19.sql	905	360	500	2	307	500	200958	0	616191	0	445350	142744	18	2	112	1232	0.002897266547385083	0.29454545454545455	1.0034192100831711
q18.sql	3770	2075	4	6	0	4	1343	0	2626	0	8379	1238	8	4	63	5	3.688580496494569E-5	8.333333333333334E-5	1.000207658230875
q17.sql	3716	1258	12	1	9	12	1825	0	10042	0	185122	1104	16	6	531	20	0.08751620544074726	0.35644869055547374	1.0012864915979514
q16.sql	1326	79	448	767	69	320	149086	0	328129	0	119003	238695	17	3	118608	656	0.18544254705202276	0.48766047049228317	1.0007275
q14.sql	3247	2885	286	69	2849	190	156436	0	234970	0	78223	78502	14	2	77819	470	0.1719345596701594	0.5040250682604338	1.00319
q12.sql	491	347	91	41	342	76	62872	0	94683	0	31075	31810	14	2	30947	189	0.17643044369220018	0.4613416010503325	1.0004993333333334
q11.sql	299	1	136	39	1	110	51829	0	69644	0	2942043	2120	29	8	33040	139	0.2561593136160303	0.7984076872248926	1.9951875000000001
q10.sql	3011	1990	799	206	1572	530	321791	0	579337	0	899311200	164574	36	6	112798	1159	0.09856426411635431	0.13592698622831356	1.0084397600288453
q09.sql	3747	0	2668	72	0	2318	0	0	0	0	0	0	0	0	330610	0	0.04689425354036642	0.23671860485557977	1.0002354808338811
q08.sql	642	0	283	8	0	282	0	0	0	0	0	0	0	0	2318	0	0.012958124537998779	0.20899388365364452	1.2807549160568186
q07.sql	3374	0	2717	9	0	2716	0	0	0	0	0	0	0	0	5900	0	0.001767692673424436	0.2585565675023465	1.2803727278295824
q06.sql	2777	2766	2717	6	2766	2716	0	0	0	0	0	0	0	0	5900	0	0.001767692673424436	0.2585565675023465	1.2803727278295824
q05.sql	3484	1226	2250	4	1163	2248	1391744	0	3650515	0	401194205	1126501	68	30	7251	7301	0.0016028781960722909	0.2649550609285406	1.124296194820026
q04.sql	2327	1377	89	11	510	83	110096	0	167549	0	145406	17773	11	1	52556	335	0.16517245732250588	0.4785569339892495	1.0
q03.sql	2408	1958	419	26	1157	408	208926	0	398800	0	1461374	151091	20	4	30488	797	0.042160541725440655	0.28514650106452555	1.001075719566098
q02.sql	986	432	61	1	16	60	7186	0	14514	0	167282	6616	24	13	476	29	0.06214709451762602	0.33610111695765854	1.12461781816769
q01.sql	2709	546	61	2140	546	60	0	0	0	0	0	0	0	0	476	0	0.06214709451762602	0.33610111695765854	1.12461781816769
