Query	Millis	PreMillis	JoinMillis	PostMillis	PreNoIndexMillis	JoinNoMatMillis	Tuples	nrFbacks	Iterations	Lookups	NrIndexEntries	nrUniqueLookups	NrUctNodes	NrPlans	JoinCard	NrSamples	AvgReward	MaxReward	TotalWork
q21.sql	45	7	0	1	4	0	0	0	0	0	0	0	0	0	0	0	-1.0	-1.0	0.0
q21.sql	2250	2243	0	2	2243	0	0	0	0	0	0	0	0	0	0	0	-1.0	-1.0	0.0
q21.sql	4142	3137	942	48	1027	938	317414	4579	572488	0	58798082	24526	61	28	4403	1145	0.006008533104943812	0.4704000010967738	1.9949074265017797
q20.sql	213	172	942	0	172	938	0	0	0	0	0	0	0	0	4403	0	0.006008533104943812	0.4704000010967738	1.9949074265017797
q20.sql	5760	4954	942	804	4954	938	0	0	0	0	0	0	0	0	4403	0	0.006008533104943812	0.4704000010967738	1.9949074265017797
q20.sql	220	214	3	0	0	3	0	0	0	0	0	0	3	0	0	1	0.0	-Infinity	1.0
q20.sql	6	1	4	0	1	3	0	0	0	0	0	0	3	0	0	1	0.0	-Infinity	NaN
q19.sql	366	175	176	1	121	175	200995	0	616346	0	444491	141971	18	2	41	1233	0.0029657650004173927	0.3685804836229886	1.004184217523335
q18.sql	3215	759	176	2455	759	175	0	0	0	0	0	0	0	0	41	0	0.0029657650004173927	0.3685804836229886	1.004184217523335
q18.sql	811	804	3	3	1	2	0	0	0	0	0	0	3	0	0	1	0.0	-Infinity	NaN
q17.sql	2216	0	3	2215	0	2	0	0	0	0	0	0	0	0	0	0	0.0	-Infinity	NaN
q17.sql	1064	1048	13	1	12	12	2037	1	10460	0	204072	517	16	4	570	21	0.08805187055274465	0.34247721756510363	1.00351
q16.sql	38	38	13	0	38	12	0	0	0	0	0	0	0	0	570	0	0.08805187055274465	0.34247721756510363	1.00351
q16.sql	568	0	554	13	0	480	800440	0	1600480	0	0	1599600	14	1	799680	3201	0.25104180636450263	0.5869272237196765	1.0
q14.sql	1901	1750	100	50	1726	63	155579	0	233790	0	433	798	14	2	77317	468	0.17185599836604779	0.5523775831954352	1.00423
q12.sql	308	257	34	14	253	22	62818	0	94602	0	14	749	14	2	31017	190	0.17799844087893668	0.6183513513513514	1.0004993333333334
q11.sql	66	2	59	3	2	20	31485	12	33216	0	2544173	0	14	4	29840	67	0.48039364009912067	0.9187897466092254	1.99848625
q11.sql	97	1	54	41	1	28	62953	30	95392	0	2561742	0	26	6	29840	191	0.17240703483942957	0.6291559307392269	2.0007675000000003
q10.sql	454	444	3	5	241	3	0	0	0	0	0	0	3	0	0	1	0.0	-Infinity	NaN
q09.sql	581	461	85	33	32	71	103933	891	223892	0	6287043	14	49	25	19971	448	0.0506408044416924	0.26908814035716766	1.0001542384598368
q09.sql	13	0	85	12	0	71	0	0	0	0	0	0	0	0	19971	0	0.0506408044416924	0.26908814035716766	1.0001542384598368
q08.sql	154	132	18	1	73	18	0	0	0	0	0	0	3	0	0	1	0.0	-Infinity	NaN
q08.sql	10	0	18	9	0	18	0	0	0	0	0	0	0	0	0	0	0.0	-Infinity	NaN
q07.sql	2534	758	1766	7	537	1764	987634	26627	7604432	0	30064763	104809	78	46	5789	15208	8.748686984800711E-4	0.21798547395446255	1.4803184005772818
q07.sql	11	0	1766	10	0	1764	0	0	0	0	0	0	0	0	5789	0	8.748686984800711E-4	0.21798547395446255	1.4803184005772818
q06.sql	4352	4337	1766	12	4337	1764	0	0	0	0	0	0	0	0	5789	0	8.748686984800711E-4	0.21798547395446255	1.4803184005772818
q05.sql	1661	960	694	4	941	689	1447038	374	3757171	0	28080510	119688	57	26	7378	7514	0.001565476502994709	0.2931865936916296	1.2994583470621897
q04.sql	1522	1521	694	0	1521	689	0	0	0	0	0	0	0	0	7378	0	0.001565476502994709	0.2931865936916296	1.2994583470621897
q04.sql	1814	1762	40	11	1166	37	110312	0	167845	0	145202	17760	11	1	52724	336	0.1655717811482186	0.5255433283323145	1.0
q03.sql	2402	2237	74	90	836	66	125854	117	232883	0	403277	71335	20	3	30135	465	0.0707182053234193	0.304739871311412	1.0025333074545502
q02.sql	340	1	235	103	1	150	165364	15	171136	0	13724817	0	26	8	160240	343	0.4733011346960146	0.6589615801150146	1.80243375
q02.sql	392	379	9	0	25	9	0	0	0	0	0	0	3	0	0	1	0.0	-Infinity	NaN
q01.sql	4114	2365	9	1746	2365	9	0	0	0	0	0	0	0	0	0	0	0.0	-Infinity	NaN
