Query	Millis	PreMillis	JoinMillis	PostMillis	PreNoIndexMillis	JoinNoMatMillis	Tuples	nrFbacks	Iterations	Lookups	NrIndexEntries	nrUniqueLookups	NrUctNodes	NrPlans	JoinCard	NrSamples	AvgReward	MaxReward	TotalWork
q21.sql	6531	3466	942	32	1382	935	307653	0	548941	0	58668206	29615	60	24	3935	1098	0.00626877661857317	0.3059005910034151	1.9992029449110995
q20.sql	7284	2	7	1	1	7	1472	0	2832	0	168414	527	8	4	258	6	0.14111624815407378	0.4785663809690397	1.8907318074722317
q19.sql	773	499	241	2	423	240	201066	0	616346	0	444491	141971	18	2	112	1233	0.00302334812814033	0.3685804836229886	1.004184217523335
q18.sql	3405	1216	5	7	1	4	593	0	1126	0	2126	332	5	3	63	2	5.248937978948152E-6	1.0497875957896304E-5	1.0000208291154375
q17.sql	3377	1114	7	1	8	7	1855	0	10062	0	185831	510	15	5	531	20	0.08684805113845784	0.3537878361295385	1.0000831498288263
q16.sql	972	57	164	701	55	120	149183	0	328502	0	118896	238400	17	3	118608	657	0.18527490637877814	0.5095831979305945	1.00088625
q14.sql	1843	1719	85	33	1699	49	156582	0	235293	0	441	800	14	2	77819	471	0.17182646515746375	0.5507926267281106	1.004215
q12.sql	319	265	33	14	262	21	63114	0	95168	0	16	995	14	2	30947	190	0.17555282375655448	0.4652769839596944	1.0006633333333332
q11.sql	135	1	37	37	1	18	36391	0	39314	0	2876203	0	22	6	33040	79	0.45172174644972324	0.831307414981135	1.9970275
q10.sql	1327	935	206	180	754	143	321700	0	579135	0	899106280	162262	35	8	112798	1159	0.09857957489128705	0.14430664589718228	1.0071984309909927
q09.sql	2204	0	1226	55	0	746	0	0	0	0	0	0	0	0	330610	0	0.04689353017541601	0.23628896189826148	1.0002201516172142
q08.sql	284	0	72	4	0	71	0	0	0	0	0	0	0	0	2318	0	0.014467032416052574	0.2936065173423647	1.2805293249474203
q07.sql	1114	0	248	8	0	245	0	0	0	0	0	0	0	0	5900	0	0.0043286378255524985	0.2484474809757702	1.2817891823858094
q06.sql	2788	2778	248	6	2778	245	0	0	0	0	0	0	0	0	5900	0	0.0043286378255524985	0.2484474809757702	1.2817891823858094
q05.sql	1549	813	726	4	793	724	1580596	0	4054740	0	310913389	121525	57	28	7251	8109	0.0015626925433602846	0.20635850291271432	1.120497476416407
q04.sql	2175	1216	37	8	638	35	110096	0	167549	0	145406	17773	11	1	52556	335	0.16517245732250588	0.4785569339892495	1.0
q03.sql	1571	1381	152	35	894	143	209178	0	399304	0	1461506	150207	20	3	30488	798	0.042103258067305166	0.2852208249593125	1.001141460894813
q02.sql	726	361	30	1	18	29	6887	0	13832	0	132147	1250	24	14	476	28	0.06709094186112012	0.3716306343959432	1.1253315783952587
q01.sql	3929	1559	30	2366	1559	29	0	0	0	0	0	0	0	0	476	0	0.06709094186112012	0.3716306343959432	1.1253315783952587
