Query	Millis	PreMillis	PostMillis	Tuples	Iterations	Lookups	NrIndexEntries	nrUniqueLookups	NrUctNodes	NrPlans	JoinCard	NrSamples	AvgReward	MaxReward	TotalWork
q20.sql	6284	11	6	1302	2853	0	142155	956	8	4	258	6	0.12097975857621623	0.4106932208684786	1.801229350387075
q19.sql	1207	716	1	200846	615845	0	445093	142664	18	2	112	1232	0.0028972665465439233	0.29454545454545455	1.0034192100831711
q18.sql	5488	991	7	542	1243	0	996	431	5	3	63	3	8.804561103650707E-6	2.1164745220915355E-5	1.0000436645745903
q17.sql	6023	1225	2	2172	9541	0	179086	1433	16	4	531	20	0.10171523121198675	0.4894423845048002	1.0025781498288262
q14.sql	2897	2800	31	156484	235146	0	78260	78619	14	2	77819	471	0.17182646515751965	0.5507926267281106	1.004215
q12.sql	346	290	21	62891	94834	0	30963	31942	14	2	30947	190	0.17555282374241069	0.4652769839596944	1.0006633333333332
q11.sql	139	2	39	68613	104562	0	2865697	1409	27	7	33040	210	0.17329968106645943	0.6284285368968818	2.00021125
q10.sql	1761	1070	350	304523	610416	0	56391475	146627	38	7	112798	1221	0.10099406456904074	0.368770649022292	1.0040355157654155
q09.sql	1916	0	109	330610	330610	0	0	0	8	1	330610	662	0.5043477003397694	0.9091653027823241	1.0
q08.sql	530	0	4	2318	2318	0	0	0	4	1	2318	5	0.5480155165431568	0.8052503052503053	1.0
q07.sql	1384	0	9	5900	5900	0	0	0	6	1	5900	12	0.550982786653926	0.7774694783573807	1.0
q06.sql	2806	2784	5	113920	113920	0	0	0	8	1	113920	228	0.5090248998007274	0.7714440825190011	1.0
q05.sql	1596	631	4	2123381	6164850	0	7656341187	1841308	75	34	7251	12330	9.558191736223644E-4	0.28590668169238875	1.85642702363229
q03.sql	1831	1643	51	209374	535144	0	1460185	151590	26	4	30488	1071	0.03173775174074568	0.40437095234533416	1.001664861641485
q02.sql	896	512	1	5773	14431	0	86162	5044	25	13	476	29	0.060666633635537974	0.29470588235294115	1.1247576269940607
q01.sql	8014	1549	2612	5948421	5948421	0	0	0	12	1	5948421	11897	0.5003390413227395	0.7711496746203905	1.0
